業績

コード,年度,売上高,営業利益,経常利益,純利益,EPS,ROE,ROA
3626,2025/03,571687000000,69047000000,70503000000,50012000000,214.99,14.57,8.96
3627,2026/02,-,-,-,-,-4.98,-,-
3628,2025/03,3853230000,-516261000,-503530000,-2964150000,-233.68,-,-
3632,2025/06,57111000000,4860000000,3760000000,1194000000,6.97,1.28,0.9
3633,2025/12,10959103000,932639000,1229308000,878436000,168.68,31.39,7.76
3634,2025/03,1039861000,-76663000,-80272000,-139132000,-56.73,-,-
3635,2025/03,83150000000,32119000000,49988000000,37628000000,119.14,19.96,17.93
3636,2025/09,121458000000,8010000000,9734000000,6386000000,405.54,8.88,4.98
3639,2025/06,2818440000,14583000,17689000,13309000,2.07,0.61,0.48
3640,2025/03,18740930000,2517577000,2523882000,1842221000,317.42,14.51,8.58
3641,2025/03,15768000000,-309000000,-283000000,-164000000,-16.9,-,-
3645,2025/05,6077796000,98783000,134989000,-68147000,-7.64,-,-
3646,2025/03,3499578000,116880000,161104000,57923000,12.15,3.51,2.35
3647,2025/08,606547000,-299648000,-311779000,-315727000,-17.21,-,-
3648,2025/03,24862456000,1849963000,1900227000,1379546000,81.89,9.41,6.39
3649,2025/12,6109941000,1790029000,1840735000,1256970000,50.07,23.1,18.46
3652,2025/03,3077721000,265555000,271729000,157122000,49.96,4.35,3.84
3653,2025/10,3359633000,45847000,71962000,-77574000,-14.8,-,-
3655,2025/06,11772254000,1575749000,1625850000,1063952000,49.81,18.45,14.15
3656,2025/12,6856276000,-1304256000,-1421088000,-4176818000,-73.53,-,-
3657,2026/01,-,-,-,-,-98.41,-,-
3659,2025/12,475102000000,124012000000,-,92052000000,114.48,8.7,6.53
365A,2026/02,-,-,-,-,72.64,17.55,8.57
3660,2025/06,68768000000,-,3310000000,2327000000,28.98,14.63,6.73
3661,2025/03,25782000000,4065000000,4113000000,1664000000,23.28,21.59,6.75
3662,2025/07,23917000000,845000000,1585000000,1036000000,55.73,11.48,6.81
3663,2025/12,9471638000,2967854000,2934988000,1681102000,55.24,39.34,21.25
3664,2025/12,2808134000,-327818000,-432898000,-526660000,-8.21,-,-
3665,2026/01,-,-,-,-,8.23,2.79,2.14
3666,2024/03,12639296000,1488654000,1546040000,1372200000,71.48,19.12,13.86
3667,2025/12,2170101000,-856653000,-832442000,-1151722000,-44.2,-,-
3668,2025/09,25933000000,1002000000,1805000000,-306000000,-2.38,-,-
366A,2025/03,14057605000,1109210000,1102051000,776205000,71.23,22.49,14.98
3670,2025/03,4476026000,298729000,301887000,171821000,143.45,8.11,5.37
3671,2025/12,6928650000,740630000,794725000,573459000,23.87,14.61,6.28
3672,2025/09,2897753000,-467294000,-442449000,-434656000,-12.83,-,-
3673,2025/12,20815301000,2062671000,-,1240265000,13.79,5.11,2.99
3674,2025/09,4657045000,-201012000,-168562000,-329112000,-31.51,-,-
3675,2025/06,28896589000,2522950000,2400265000,1356038000,71.47,16.99,8.26
3676,2025/03,39748901000,2430067000,2278445000,629464000,28.25,7.03,3.16
3678,2026/02,-,-,-,-,119.85,9.55,3.19
3679,2025/03,25450000000,5657000000,-,3872000000,38.13,19.38,10.31
367A,2025/08,28002000000,3132000000,-,1786000000,204.18,9.89,3.89
3680,2025/12,3651137000,-1833417000,-,-1787297000,-113.97,-,-
3681,2025/12,-,-,-,-,-122.64,-,-
3682,2025/03,2501582000,297990000,303146000,220239000,33.07,6.27,4.73
3683,2025/12,18136000000,1846000000,1857000000,1303000000,117.16,14.44,8.25
3686,2025/03,1978904000,-489248000,-394463000,-728502000,-17.14,-,-
3687,2025/09,9617686000,2578202000,2581516000,1945356000,60.34,23.59,19.71
3688,2024/12,24275000000,2139000000,2384000000,1688000000,66.79,6.98,3.49
368A,2025/03,10302000000,5782000000,5767000000,3788000000,94.7,20.76,19.18
3690,2025/09,4934733000,278892000,279654000,-142198000,-22.98,-,-
3691,2025/09,933135000,-3863000,-,-71251000,-16.73,-,-
3692,2025/03,3039446000,817002000,880538000,687022000,86.86,24.63,15.94
3694,2025/03,10580636000,1954346000,1862328000,1178350000,21.39,13.98,10.62
3695,2025/12,6818184000,340678000,323432000,155636000,41.83,6.39,1.65
3696,2025/12,29660382000,2334025000,2105109000,2497250000,216.61,18.78,6.66
3697,2025/08,129819000000,15628000000,15181000000,8935000000,33.93,22.01,11.6
3698,2025/09,3448587000,554381000,566774000,420710000,80.51,10.39,7.2
369A,2025/08,2929212000,713250000,705777000,457358000,113.22,14.46,11.78
3708,2025/03,94800000000,3928000000,6227000000,3607000000,102.5,4.59,2.59
3710,2025/09,2834256000,45658000,258244000,261735000,51.31,5.71,4.76
3712,2025/09,3843500000,1536833000,1537993000,1077526000,71.24,15.5,12.8
3719,2025/12,-,-,-,-,6.9,8.67,3.5
3723,2025/09,2612982000,1340777000,1364655000,903682000,87.91,8.31,7.86
3726,2025/09,2441039000,-165319000,-206464000,-243929000,-23.64,-,-
3727,2025/12,2873930000,-64869000,-,-137410000,-6.31,-,-
372A,2025/05,49088449000,3906776000,3444175000,2498909000,766.68,16.71,4.32
3733,2025/10,42298000000,8388000000,8471000000,6112000000,1167.77,14.59,11.71
3738,2024/03,448954000000,8051000000,12390000000,7013000000,125.65,9.07,2.82
3739,2025/03,2464916000,144914000,117093000,-134318000,-9.97,-,-
373A,2025/08,4409577000,949306000,940739000,652302000,260.01,18.03,16.01
3741,2025/03,10295370000,1793256000,1893682000,1344002000,131.79,14.4,11.41
3744,2025/12,19059817000,401518000,497779000,320134000,36.93,18.27,3.7
3747,2025/09,1836486000,-8517000,-213206000,-145125000,-20.2,-,-
3750,2025/03,122204000,-806888000,-864914000,-2140086000,-239.7,-,-
3753,2025/03,3063284000,-298933000,-333065000,-382695000,-38.61,-,-
3758,2025/12,16472000000,667000000,541000000,352000000,16.89,4.12,1.66
3760,2025/05,13969156000,1133685000,1131607000,246488000,40.9,4.79,1.86
3762,2025/03,64882255000,6668299000,-,4056530000,101.01,16.76,3.85
3763,2025/03,7564803000,2309487000,2431933000,1930537000,78.03,22.1,16.96
3765,2025/12,93242000000,5056000000,6780000000,1407000000,25.78,1.15,0.83
3766,2025/03,9609075000,454455000,477768000,297649000,87.12,6.45,4.65
3768,2025/03,3728251000,263991000,289951000,-49599000,-6.67,-,-
3769,2025/09,82499385000,31340267000,-,21829235000,287.79,19.32,5.37
3770,2025/04,4317141000,300003000,243340000,158785000,13.56,3.2,2.9
3771,2025/03,25931487000,2997558000,3066064000,2194600000,132.29,18.58,12.52
3772,2025/03,18310289000,2520295000,1048713000,1102812000,57.56,5.69,1.78
3773,2025/03,6665147000,1442566000,1539804000,1408637000,90.4,11.45,8.82
3774,2025/03,316831000000,30104000000,-,19933000000,112.68,14.17,6.38
3775,2025/12,3498673000,254824000,204301000,218575000,42.84,17.13,9.49
3776,2025/12,15289750000,811080000,909196000,300208000,4.89,3.42,1.57
3777,2025/12,1371110000,110184000,109365000,-3649000,-0.01,-,-
3778,2025/03,31412382000,4145586000,4060431000,2937459000,75.23,9.77,3.61
3779,2025/03,1318779000,-108563000,-222863000,370450000,32.02,60.18,11.61
377A,2025/12,-,-,-,-,3.8,0.45,0.14
3782,2025/12,1098392000,249665000,252510000,288144000,5.96,20.73,12.78
3787,2025/03,416588000,-286658000,-282073000,-285004000,-109.91,-,-
3788,2025/12,20670761000,1475276000,1435440000,1005193000,87.55,9.73,5.3
378A,2025/06,4419389000,1387038000,1367860000,905095000,162.79,26.73,14.01
3791,2025/05,14598270000,1426186000,1420281000,828016000,43.28,10.58,6.32
3793,2025/03,12655184000,112008000,53306000,-1035569000,-36.1,-,-
3796,2025/03,3028187000,-37275000,-42141000,-39536000,-2.86,-,-
3798,2025/03,13203000000,2623000000,2638000000,1635000000,29.72,16.7,12.05
3799,2025/03,21101196000,921038000,1224599000,1031747000,127.63,13.63,9.57
3800,2025/03,11687128000,840780000,1001623000,716887000,94.57,5.99,4.67
3802,2025/03,2121744000,46811000,61719000,43215000,9.21,2.4,2.19
3803,2025/03,646058000,-70802000,-69393000,-36568000,-18.14,-,-
3804,2025/10,5032292000,938154000,943957000,627894000,97.92,12.54,8.53
3807,2025/12,842936000,4477000,5487000,-8292000,-0.18,-,-
3808,2025/06,234701000,-114741000,-160260000,-135312000,-3.28,-,-
3810,2025/05,2504000000,-1787000000,-1916000000,-1695000000,-110.71,-,-
3814,2025/09,1170516000,-83844000,-114629000,-106529000,-26.77,-,-
3815,2025/08,1873495000,-323447000,-317476000,-508238000,-50.21,-,-
3816,2025/07,3204763000,571514000,619334000,417508000,107.73,7.78,6.69
3817,2025/03,51617000000,7940000000,8126000000,3377000000,267.47,10.96,6.56
3823,2025/08,1751539000,-72956000,-786399000,-69043000,-0.73,-,-
3824,2025/05,1719341000,36525000,70316000,59429000,63.22,15.92,8.49
3825,2025/03,21129000000,-1211000000,-541000000,-593000000,-4.92,-,-
3826,2026/02,-,-,-,-,41.99,10.28,8.07
3830,2024/04,21668636000,3854685000,3843618000,2605842000,179.85,29.61,17.39
3834,2025/03,13078000000,2345000000,2364000000,1752000000,64.95,13.38,11.85
3835,2025/03,5469897000,1731664000,1797849000,1250789000,27.67,17,15.42
3836,2025/06,28227703000,4604149000,4613019000,3434688000,91.24,22.04,14.09
3837,2025/03,15463041000,1710917000,1766299000,1209503000,65.81,17.53,12.24
3839,2025/03,6472393000,516119000,576724000,263367000,32.31,4.18,2.85
3840,2025/03,2253739000,-208368000,-228919000,-276771000,-4.36,-,-
3841,2025/03,2062768000,256990000,290075000,213428000,55.45,5.94,4.99
3842,2025/03,3620794000,262271000,250401000,204883000,66.61,9.44,5.79
3843,2025/04,55073206000,5883783000,5230578000,2748537000,135.81,42.42,6.78
3844,2025/03,36341000000,4630000000,4660000000,3160000000,99.1,17.11,12.34
3845,2025/03,2004586000,-61871000,-50823000,-110605000,-6.15,-,-
3847,2025/03,11354180000,867073000,890951000,654717000,442.49,9.8,6.71
3848,2025/03,2607070000,329200000,360166000,268283000,43.37,5.62,4.34
3849,2025/03,637500000,3242000,6998000,5988000,3.7,0.51,0.44
384A,2024/06,1779053000,167260000,173181000,97152000,85.39,42.77,8.46
3850,2025/03,11829406000,551729000,599906000,341309000,70.19,6.67,3.68
3851,2025/03,5299892000,-274726000,-75025000,-157225000,-31.08,-,-
3853,2025/03,3171258000,781201000,-,588623000,35.02,9.64,7.49
3854,2025/07,19294870000,4818844000,4767603000,3488354000,141.32,30.91,22.12
3856,2025/03,72417000000,3602000000,3737000000,951000000,53.45,3.93,0.65
3857,2024/03,49477000000,2174544000,2153000000,1379000000,45.7,8.95,5.8
3858,2025/03,4138789000,96498000,92889000,91084000,8.71,3.8,2.64
3861,2025/03,1849264000000,67686000000,68568000000,46171000000,47.34,4.19,1.75
3863,2025/03,1182431000000,19706000000,15505000000,4539000000,39.33,0.94,0.27
3864,2025/03,175942000000,4567000000,4548000000,4343000000,99.11,5.09,2.09
3865,2025/03,305718000000,19727000000,18759000000,15529000000,92.34,5.86,3.71
386A,2025/06,24016722000,678605000,764553000,404783000,134.93,14.11,4.79
3877,2025/03,111009000000,4843000000,5114000000,1761000000,136.64,3.1,1.44
3878,2025/03,34432000000,1282000000,1566000000,749000000,72.99,4.91,1.63
387A,2025/06,2008991000,189734000,185701000,197123000,121.98,19.92,10.74
3880,2025/03,668912000000,9807000000,4530000000,-11197000000,-67.29,-,-
3891,2025/03,16033765000,2460650000,2445093000,1781054000,167.55,7.45,5.05
3892,2025/05,11522767000,1032587000,1147883000,798698000,172.32,6.17,4.81
3895,2025/03,13403100000,695010000,792085000,672450000,86.22,9.26,5.46
3896,2025/03,17124457000,432414000,279465000,35867000,3.59,0.67,0.13
3900,2025/09,22657413000,1759112000,1759193000,-257066000,-16.28,-,-
3901,2025/12,5570370000,2095573000,2146528000,1519709000,116.16,23.25,17.25
3902,2025/12,6539159000,349464000,360721000,280242000,7.4,9.11,5.86
3903,2025/04,8942741000,370823000,2103632000,2063322000,43.5,12.35,8.64
3904,2025/12,20094686000,1071176000,850282000,683924000,42.63,11.87,5.04
3905,2025/03,2942635000,-496001000,-613224000,-654991000,-37.4,-,-
3907,2025/11,4303000000,147000000,148000000,206000000,75.05,11.11,7.35
3908,2025/03,1906946000,75493000,102944000,144924000,31.92,11.48,8.35
3909,2024/12,6211422000,-165842000,-243821000,-742757000,-104.86,-,-
3910,2025/03,3290195000,-23482000,-40715000,-118568000,-21.85,-,-
3911,2025/12,15826223000,2079810000,1411414000,1086086000,23.27,15.79,11.8
3912,2025/12,3427344000,1121468000,1145564000,488458000,67.66,15.85,12.27
3913,2025/12,961943000,165099000,168198000,203898000,87.49,14.66,12.16
3914,2025/12,3625500000,549776000,600695000,418233000,63.47,12.84,7.9
3915,2026/02,-,-,-,-,121.77,12.52,7.08
3916,2025/06,24159035000,3013992000,3027785000,2178368000,73.69,26.98,19.33
3917,2025/03,6708400000,219066000,208390000,13901000,1.83,0.56,0.23
3918,2025/03,13278225000,679893000,697734000,489193000,49.39,5.45,3.08
391A,2025/04,5438646000,690251000,611340000,817986000,753.21,19.16,6.69
3920,2025/09,2404511000,565083000,574648000,410714000,74.07,18.07,10.98
3921,2026/01,-,-,-,-,129.18,24.21,16.92
3922,2026/02,-,-,-,-,177.73,26.24,20.7
3923,2025/03,48904000000,10192000000,10218000000,8003000000,22.09,36.42,25.28
3924,2025/03,13730729000,1433806000,1463371000,1023309000,57,17.13,12.26
3925,2025/03,8000645000,2606351000,2608474000,1782293000,131.87,27.92,23.68
3926,2025/03,2405078000,-102059000,-101377000,-120685000,-3.89,-,-
3927,2025/03,4373104000,187400000,165979000,109457000,20.75,7.17,1.95
3928,2025/12,7478296000,374476000,308091000,228133000,26.8,15,4.87
3929,2025/03,2905402000,136975000,72685000,170042000,16.54,11.02,6.74
3930,2025/07,3794875000,339492000,339578000,230882000,77.61,8.2,6.69
3931,2026/01,-,-,-,-,-4.4,-,-
3932,2025/03,23652000000,3915000000,4233000000,1646000000,114.15,4,3.01
3933,2025/03,6896797000,-,661188000,423814000,56.93,13.74,3.99
3934,2025/03,12745109000,1220502000,1236356000,830895000,141.17,10.48,7
3935,2026/02,-,-,-,-,79.61,29.5,17.09
3936,2025/03,3071643000,-261140000,-277599000,-320046000,-8.79,-,-
3937,2025/03,6340989000,1315569000,1341490000,858398000,71.13,15.5,10.91
3939,2025/09,5500786000,1606662000,1612858000,1111528000,23.42,23.91,16.99
3940,2025/12,3320879000,586394000,593246000,403659000,8.83,11.45,10.15
3941,2025/03,993251000000,37408000000,39178000000,28979000000,116.94,6.25,2.33
3943,2025/03,23485000000,904000000,1130000000,944000000,121.45,5.06,3.54
3944,2025/12,17865127000,432615000,470917000,315383000,285.05,3.15,1.55
3945,2025/03,27579000000,901000000,1022000000,976000000,658.37,20.69,6.68
3946,2025/03,219613000000,9360000000,9400000000,6508000000,395.42,7.02,3.15
3947,2025/12,67083405000,2881978000,3557783000,3178092000,320.18,6.78,3.74
3948,2025/12,7743777000,202174000,280356000,151742000,27.73,1.62,1.31
3950,2025/12,103125000000,7207000000,7532000000,6024000000,107.11,7.83,5.78
3951,2025/03,43945000000,2076099000,2165000000,1704000000,80.19,4.97,2.42
3952,2025/03,-,-,-,-,65.23,2.44,2.13
3953,2025/03,5939115000,274135000,283520000,-109789000,-30.83,-,-
3954,2025/03,23316657000,1377754000,1626630000,1320253000,297.41,5.63,3.95
3955,2026/01,-,-,-,-,95.54,5.34,3.39
3958,2025/06,12555556000,185608000,420474000,246097000,43.28,2.69,1.76
3961,2025/12,-,-,-,-,-15.79,-,-
3962,2025/03,46387000000,13515000000,-,7470000000,106.6,18.14,7.12
3963,2025/03,3951497000,1097201000,1086368000,659265000,24.02,12.38,10.75
3964,2025/12,64139920000,9517806000,9521733000,5921726000,129.85,22.48,11.66
3965,2025/09,9689408000,530589000,535102000,401823000,69.97,10.81,6.06
3967,2026/02,-,-,-,-,-27.47,-,-
3968,2025/12,25074483000,1854284000,2001769000,1191196000,37.58,28.96,6.39
3969,2025/03,2766310000,1058199000,1060916000,728342000,97.28,14.38,11.62
3970,2025/03,5343785000,351870000,340497000,67478000,25.35,1.99,0.81
3974,2025/10,2605272000,193039000,197225000,125510000,43.76,6.16,4.13
3976,2025/12,3208384000,120747000,64994000,-27673000,-5.18,-,-
3977,2026/02,-,-,-,-,0.69,0.28,0.15
3978,2024/06,43861000000,4470000000,-,2293000000,60.18,5.63,2.57
3979,2025/03,6701255000,762923000,761983000,458072000,16.55,15.13,7.34
3981,2025/12,16720153000,1368394000,1319589000,683683000,122.37,8.49,4.13
3983,2025/12,8307953000,2649270000,-,1896738000,120.25,18.31,13.8
3984,2025/06,4581996000,1971441000,1972822000,1429454000,88.94,16.43,14.34
3985,2025/09,1832558000,155918000,153219000,73467000,6.88,9.91,4.16
3986,2025/06,1377558000,109827000,112196000,91836000,20.12,5.36,4.01
3987,2025/08,3003786000,49621000,53922000,-35039000,-6.68,-,-
3988,2025/07,14051094000,705229000,732913000,423426000,40.29,11.28,5.35
3989,2025/09,8579864000,2074042000,-,1413204000,60.3,27.41,19
3990,2024/09,27589281000,324951000,554039000,272420000,13.71,7.58,2.77
3991,2025/08,4908830000,1644847000,1644044000,1083381000,114.04,22.13,15.13
3992,2025/09,10032902000,1155855000,1169657000,887114000,23.42,18.63,13.62
3993,2025/09,21771392000,5288742000,-,2683075000,86.47,7.78,4.93
3994,2025/11,50349943000,-2653396000,-3877650000,1587260000,28.78,3.88,1.24
3995,2024/01,-,-,-,-,21.3,15.81,5.05
3996,2026/02,-,-,-,-,5.94,4.04,2.5
3997,2025/12,5052458000,259797000,258433000,56888000,1.49,3.19,1.42
3998,2025/12,1932007000,65621000,73382000,-3780000,-0.6,-,-
4004,2025/12,1347125000000,46676000000,-,29031000000,160.49,4.15,1.38
4005,2025/03,2606281000000,193033000000,-,38591000000,23.59,4.28,1.12
4006,2025/03,146766000000,4388000000,4978000000,721000000,4.61,-0.56,0.28
4008,2025/03,147571000000,10712000000,11106000000,5961000000,450.59,6.32,4.21
4011,2025/12,3900040000,229250000,128516000,57656000,15.13,4.34,1.5
4012,2025/12,8134225000,888319000,917869000,642849000,151.03,15.77,11.9
4013,2025/12,5370470000,1521377000,1525113000,1013085000,51.52,9.88,7.38
4014,2025/07,1270151000,-34721000,-43837000,-69919000,-11.07,-,-
4015,2025/08,10234033000,731430000,714241000,143755000,9.07,3.29,1.53
4016,2025/11,5117826000,169243000,162301000,94862000,47.69,13.12,4.5
4017,2026/02,-,-,-,-,4.01,2.39,0.73
4018,2025/06,686088000,37501000,38082000,18636000,11.9,3.1,2.41
4019,2025/12,3817816000,291225000,298374000,208147000,23.74,14.03,8.49
4020,2025/12,1159416000,-81816000,-80888000,-101404000,-47.01,-,-
4021,2025/03,251365000000,56833000000,58018000000,43043000000,313.26,18.45,13.01
4022,2025/03,45421000000,4736000000,4602000000,3131000000,398.7,11.23,6.83
4023,2025/03,162015000000,9428000000,-,7800000000,149.66,3.73,2.26
4025,2025/12,41977000000,3163000000,3780000000,3277000000,388.99,7.64,4.99
4026,2025/04,27405000000,1786000000,1718000000,1433000000,158.14,11.1,4.66
4027,2025/03,55737000000,3525000000,3747000000,2422000000,105.46,4.12,2.74
4028,2025/03,145196000000,10482000000,11392000000,8410000000,219.96,7.36,3.74
402A,2025/05,1586835000,-2495052000,-1824228000,-1950803000,-44.96,-,-
4031,2025/03,41369000000,650000000,672000000,350000000,39.03,1.47,0.7
4040,2025/03,20900000000,1306000000,1456000000,1015000000,505.55,12.08,4.52
4041,2025/03,155199000000,16063000000,19529000000,15011000000,272.55,8.04,5.21
4042,2025/03,1063382000000,98906000000,103005000000,58002000000,182.13,7.01,4.37
4043,2025/03,343073000000,29968000000,29588000000,23388000000,325.08,8.94,4.91
4044,2025/03,144233000000,10629000000,12164000000,5678000000,229.11,4.86,2.77
4045,2025/12,162312000000,14180000000,15067000000,12766000000,117.02,5.94,4.42
4046,2025/03,96434000000,13246000000,14154000000,10332000000,81.54,8.94,6.71
4047,2025/03,62351000000,4272000000,4507000000,3248000000,56.53,4.92,2.63
4051,2025/09,17927780000,2230646000,-,1632030000,197.49,26.09,11.8
4052,2025/06,497614000,-9374000,-10772000,-38585000,-6.6,-,-
4053,2025/12,14835000000,1052000000,998000000,476000000,12.58,4.46,2.95
4054,2025/06,5075325000,1004019000,1003173000,628088000,45.11,16.1,10.98
4055,2025/09,4103317000,756443000,753712000,509237000,67.19,17.48,13.9
4056,2025/12,3299035000,-6663000,-46757000,-116204000,-7.29,-,-
4057,2025/05,2864934000,196284000,190994000,137570000,34.1,11.64,6.51
4058,2025/12,4858000000,1605000000,1608000000,1085000000,99.31,26.84,16.6
4059,2025/09,438853000,20234000,20573000,14267000,5.06,1.69,1.43
4060,2025/12,1830057000,428094000,428274000,272306000,46.81,14.58,6.53
4061,2025/03,400251000000,14413000000,7623000000,-12300000000,-142.73,-,-
4062,2025/03,369436000000,47621000000,47890000000,33704000000,120.66,6.87,3.12
4063,2025/03,2561249000000,742105000000,820543000000,534021000000,269.52,11.47,9.47
4064,2025/03,48727000000,3493000000,3761000000,2211000000,237.45,6.19,3.49
4068,2025/06,7984144000,177862000,167855000,96644000,52.34,4.72,2.6
4069,2025/03,2349515000,31254000,20633000,-17143000,-5.02,-,-
4071,2025/09,17084345000,6378692000,6320449000,3258678000,78.6,22.03,17.49
4072,2025/12,-,-,-,-,270.97,11.75,4.19
4073,2025/06,1844329000,-80040000,-115610000,-146336000,-58.39,-,-
4074,2025/12,7728364000,445486000,443086000,287613000,37.49,7.67,4.72
4075,2025/07,1255876000,165849000,166950000,133691000,23.95,8.14,6.5
4076,2025/05,7004976000,555336000,585254000,427349000,147.06,10.79,8.12
4078,2025/03,84409000000,6093000000,6279000000,5013000000,309.16,6.41,4.07
407A,2025/06,17620881000,1710530000,-,1117118000,112.9,29.64,8.96
4080,2025/03,36497000000,-338000000,-373000000,-257000000,-7.9,-,-
4082,2025/03,33641000000,2282000000,632000000,792000000,32.63,2.09,1.22
4088,2025/03,1061124000000,75246000000,-,37707000000,164.87,7.97,3.08
4091,2025/03,1308024000000,165906000000,-,98779000000,228.2,10.07,4.08
4092,2025/03,38843000000,3342000000,3199000000,2559000000,290.58,5.52,3.41
4093,2025/03,34804369000,1914690000,2170475000,1287422000,37.03,7.03,3.83
4094,2025/03,25441000000,2860915000,3212000000,2357000000,121.15,5.07,4.34
4095,2025/03,132281000000,14998000000,19936000000,13112000000,112.19,6.72,4.91
4097,2025/03,98261000000,5969000000,6642000000,4784000000,86.68,6.06,3.89
4098,2025/03,7794000000,165000000,110000000,200000000,67.4,3.91,1.43
4099,2025/12,70705000000,10869000000,11921000000,8459000000,193.11,9.02,5.86
409A,2025/03,28866000000,3479000000,3447000000,7301000000,133.81,38.5,14.35
4100,2025/03,31667000000,-648000000,-1411000000,-3563000000,-616.43,-,-
4102,2025/03,12843000000,5724000,197000000,148000000,67.24,1.52,0.88
4107,2025/12,39258000000,9484000000,9252000000,6498000000,127.51,16.22,12.74
4109,2025/03,36288000000,4338000000,4161000000,2892000000,240.95,6.46,4.76
410A,2025/12,2459803000,523639000,508660000,342790000,84.25,12.35,8.49
4112,2025/03,48578000000,4875000000,4770000000,3178000000,199.99,6.54,3.98
4113,2025/03,29930000000,1887000000,1964000000,1478000000,103.15,7.99,4.86
4114,2025/03,409346000000,19062000000,-,17394000000,113.9,4.54,3.2
4116,2025/03,124760000000,7004000000,7764000000,10289000000,599.59,8.04,5.23
4118,2025/03,807200000000,40050000000,32863000000,25309000000,400.91,5.37,2.75
4119,2025/03,37921166000,176563000,402447000,5026157000,3202.18,25.42,11.32
4120,2025/03,6622426000,541308000,644927000,363122000,277.96,4.87,3.16
4124,2025/09,1178074000,139087000,138703000,-32110000,-30.76,-,-
4125,2025/03,16040490000,836260000,897721000,591472000,136.98,4.8,2.87
414A,2025/08,8535000000,3026000000,-,2067000000,103.35,25.43,11.13
4151,2025/12,496826000000,203458000000,-,67040000000,128.07,7.5,6.05
415A,2025/12,6923000000,519000000,479000000,1539000000,1264.08,38.48,26.88
4165,2025/09,13396474000,1431874000,1380506000,1099057000,26.99,23.11,11.39
4166,2025/12,819443000,-133365000,-137157000,-137687000,-50.45,-,-
4167,2025/03,2007546000,197862000,199942000,125877000,16.62,6.76,5.18
4168,2025/12,6056126000,882764000,877754000,920605000,71.9,32.65,19.44
4169,2025/03,6715556000,-3630553000,-2081198000,-1273466000,-36.27,-,-
4170,2025/12,4354800000,29196000,38664000,29815000,1.75,1,0.7
4171,2025/12,2567624000,318054000,342611000,232163000,78.28,9.21,7.33
4172,2025/09,2406943000,549606000,652002000,448093000,201.13,10.68,9.49
4173,2025/02,1848692000,107084000,114989000,93062000,13.03,7.13,4.2
4174,2026/01,-,-,-,-,-115.33,-,-
4175,2026/01,-,-,-,-,13.08,1.33,1.05
4176,2025/08,9410783000,256121000,227276000,306904000,13.07,15.26,4.85
4177,2025/03,5084450000,578502000,579697000,597925000,151.08,42.83,15.64
4178,2025/12,4458053000,100369000,93112000,23971000,6.4,1.49,1.03
4179,2025/03,691648000,-174243000,-189940000,-218573000,-45.72,-,-
4180,2025/12,43737000000,2976000000,-,2558000000,25.14,6.89,4.23
4182,2025/03,773591000000,50851000000,60316000000,45544000000,228.93,6.82,4.07
4183,2025/03,1809164000000,78336000000,-,32242000000,85.28,3.8,1.5
4185,2024/03,404631000000,3649000000,-,-5551000000,-26.74,-,-
4186,2025/12,237029000000,47386000000,49274000000,33345000000,278.42,14.65,9.95
4187,2025/11,36265691000,6187165000,6557501000,6887536000,336.68,13.86,10.81
4188,2025/03,4407405000000,196694000000,-,45020000000,31.64,2.59,0.76
4189,2025/12,115098000000,11248000000,10793000000,7799000000,218.13,11.19,5.99
418A,2025/11,1519616000,175560000,201505000,215820000,52.17,52.92,31.04
4192,2025/12,4895537000,-10899000,-40667000,-17357000,-0.49,-,-
4193,2025/03,9206653000,1106417000,1116133000,331666000,61.77,9.12,6.17
4194,2025/07,80161000000,21442000000,22715000000,15950000000,400.75,23.73,16.72
4196,2025/09,2306479000,10849000,7654000,26630000,10.76,3.37,1.48
4197,2025/11,4416257000,280298000,289845000,199926000,174.91,12.65,7.91
4198,2025/05,5574950000,428199000,441225000,257600000,38.99,9.43,6.64
4199,2025/08,2316539000,-129648000,-153522000,-131578000,-51.63,-,-
4202,2025/03,586531000000,61011000000,62320000000,49480000000,181.44,13.75,6.08
4203,2025/03,304773000000,24792000000,-,19281000000,208.91,6.63,4.62
4204,2025/03,1297754000000,107951000000,110958000000,81925000000,195.93,10.15,6.16
4205,2025/03,420647000000,29321000000,33051000000,26199000000,127.43,7.33,4.91
4206,2025/03,248696000000,27408000000,28668000000,16896000000,266.35,9.75,5.87
4208,2025/03,486802000000,18045000000,22372000000,-4816000000,-49.6,-,-
4212,2025/03,74231000000,5011000000,5447000000,3544000000,112.05,3.7,2.54
4215,2024/03,137581000000,6228000000,6501000000,5102000000,52.42,5.28,3.27
4216,2025/03,85162000000,11121000000,11250000000,7624000000,401.25,9.82,7.21
4218,2025/03,49457000000,2586000000,2681000000,1959000000,96.24,4.54,2.9
4219,2025/03,6297714000,-29237000,77147000,-105872000,-4.81,-,-
421A,2025/12,-,-,-,-,142.06,30.92,23.79
4220,2025/03,128141144000,10488509000,10587468000,7370551000,137.67,11.36,6.33
4221,2025/12,-,-,-,-,335.25,6.05,3.7
4222,2025/03,15842015000,162420000,97761000,-132850000,-15.82,-,-
4224,2025/03,21433000000,870000000,950000000,13000000,2.82,0.07,0.05
4228,2025/03,137072000000,641000000,102000000,-6282000000,-138.26,-,-
4229,2025/03,30545000000,2293000000,2716000000,1920000000,289.5,3.86,3.05
4231,2025/03,49336406000,2833493000,3284860000,3383663000,170.83,7.66,5.54
