財務

コード,年度,総資産,純資産,株主資本,利益剰余金,短期借入金,長期借入金,BPS,自己資本比率
8706,2025/03,78597000000,51609000000,49735000000,40575000000,11000000000,1000000000,1617.77,65.7
8707,2025/03,185451000000,67701000000,60340000000,47149000000,3500000000,-,2882.22,36.5
8708,2025/03,109529000000,47599000000,35557000000,28237000000,9675000000,5156000000,1433.93,40.7
8713,2025/03,2921972000000,77396000000,95140000000,59147000000,-,-,4285.14,2.6
8714,2025/03,6431321000000,240248000000,231187000000,112405000000,-,-,852.98,3.7
8715,2025/03,72494000000,28066000000,30132000000,14660000000,-,-,376.54,38.9
8725,2025/03,26241298000000,4052835000000,2296271000000,2135307000000,-,-,2647.02,15.2
8729,2025/03,23370923000000,669754000000,743026000000,531737000000,-,-,1539.28,2.9
8732,2024/03,66276000000,13808000000,13787000000,10486000000,-,-,433.12,20.8
8737,2025/03,92035580000,18853094000,17810899000,10491955000,22078504000,7373740000,590.21,19.4
8739,2025/03,49939000000,33507000000,30343000000,23497000000,2000000000,7000000000,845.63,67.1
8742,2025/03,20878202000,9767782000,9112572000,5789501000,70000000,-,784.62,46.8
8746,2025/03,7392000000,5752000000,5514000000,377000000,-,-,552.22,74.9
8747,2025/03,125860893000,13800127000,13246426000,12089193000,700000000,-,2440.62,11
8750,2025/03,69592967000000,3469707000000,2014630000000,1349528000000,-,-,942.52,5
8755,2025/03,11549007000000,2976760000000,2958355000000,1878527000000,-,-,2976.05,25.6
8761,2025/03,3852392000000,853756000000,394452000000,216224000000,-,-,1161.93,22.1
8766,2025/03,31237340000000,5103545000000,3021956000000,2925599000000,-,-,2640.27,16.3
8769,2025/03,8724042000,3959913000,3908783000,3707056000,170000000,1571968000,249.02,44.8
8771,2025/03,33014129000,26391332000,24206173000,16846869000,-,-,505.07,73.3
8772,2025/03,118272009000,49054015000,49054015000,46747417000,-,46027225000,1487.57,41.5
8783,2025/08,9031927000,4430463000,4454733000,656412000,1728993000,297091000,148.01,47.4
8789,2025/09,26994129000,12042174000,10737368000,5301178000,3414679000,2068376000,56.53,40.3
8793,2025/03,1224797000000,142385000000,113237000000,104788000000,88520000000,402613000000,5617.52,9.9
8795,2025/03,16712943000000,1409064000000,730762000000,598756000000,-,-,2739.81,8.4
8798,2025/09,10288366000,559504000,559265000,-1157657000,4638830000,150220000,17.53,5.4
8801,2025/03,9859856000000,3270723000000,2425606000000,1782181000000,573164000000,2419751000000,1135.07,31.9
8802,2025/03,7996591000000,2740873000000,1573222000000,1262902000000,201670000000,2136406000000,2057.47,32.1
8803,2025/03,419541000000,117999000000,86749000000,64580000000,800000000,198320000000,1767.06,28.1
8804,2025/12,2272720000000,603137000000,461082000000,303315000000,65508000000,973366000000,2846.84,26
8806,2025/03,594604000000,204304000000,172666000000,144430000000,-,98850000000,33722500000,34
8818,2025/03,177104000000,76323000000,75103000000,56434000000,6336000000,23017000000,1569.82,43.1
8830,2025/03,6722422000000,2168107000000,1913052000000,1706318000000,27615000000,2970582000000,2303.21,32.3
8835,2025/03,47742000000,16095000000,14285000000,6625000000,10247000000,3940000000,2013.17,32.8
8836,2025/03,1826000000,1648000000,1648000000,-65000000,-,10000000,17.16,90.3
8841,2025/03,114896000000,100824000000,92430000000,75087000000,589000000,260000000,1136.39,87.2
8842,2024/01,-,-,-,-,-,-,5445.35,-
8844,2025/03,176849000000,50318000000,49083000000,38279000000,23856000000,54620000000,1455.04,27.9
8848,2025/03,216625000000,88268000000,73350000000,47490000000,30000000000,-,255.81,37.5
8850,2025/03,333647000000,178239000000,168210000000,163688000000,7194000000,46226000000,3627.57,52.4
8860,2025/03,183210108000,54674606000,54359536000,44431376000,35067725000,72400571000,1518.5,29.8
8864,2025/03,108580000000,62594000000,55968000000,43648000000,3390982000,17554000000,1191.07,55.1
8869,2025/03,152097000000,33979000000,33944000000,25011000000,15825000000,49495000000,1449.1,22.3
8871,2025/03,222689000000,133771000000,133777000000,113450000000,-,64725000000,4025,60.1
8876,2025/03,303176000000,70512000000,68198000000,63010000000,12084000000,43151000000,455.64,22.5
8877,2025/03,227029651000,73460423000,73255778000,68467160000,4010000000,101559759000,4761.07,32.4
8881,2025/03,133300711000,69376669000,67574010000,57163762000,5184100000,26845850000,1461.64,51.2
8886,2024/05,23823960000,5032767000,4461779000,3939892000,4719920000,6542912000,3061.66,18.7
8887,2025/05,16748480000,11066029000,11040799000,6467941000,67900000,2022030000,917.56,66.1
8890,2024/03,130513000000,62452000000,62059000000,47873000000,990000000,52353000000,2173.67,47.8
8891,2025/03,29325960000,10982546000,10949806000,9771973000,5903478000,3308958000,3920.68,37.4
8892,2025/03,459847000000,78681000000,78946000000,51247000000,4735000000,257872000000,827.19,17.2
8894,2025/10,46802271000,1511518000,907413000,-17261230000,2980000000,8500000,9.92,2.5
8897,2025/03,372508000000,89107000000,82265000000,66783000000,43238000000,136185000000,610.6,22.3
8898,2025/03,7922913000,6611474000,6401690000,6605538000,-,-,644.27,83.4
8904,2025/08,71081758000,28022540000,27827631000,21557397000,21865934000,11969526000,1941.57,39.4
8905,2025/02,1663276000000,511094000000,412274000000,329184000000,-,183409000000,2192.53,30
8908,2025/05,30894812000,13349774000,13078066000,12091829000,600000000,10422093000,743.83,42.4
8912,2025/06,3954174000,1388793000,1396848000,592801000,84668000,176611000,86.66,35.1
8914,2025/12,64080563000,29228662000,29202395000,17119762000,678800000,21215034000,575.01,45.6
8917,2025/10,61786484000,42140579000,40595080000,40098869000,4733760000,5639180000,2923.96,65.8
8918,2026/02,-,-,-,-,-,-,5.97,-
8919,2025/03,83329000000,45719000000,45719000000,38395000000,-,26500000000,584.67,54.9
8920,2025/03,72177844000,42265798000,36231846000,32363392000,721000000,8697729000,946.18,50.2
8923,2025/11,307427474000,102836193000,102805108000,87876336000,-,-,1060.18,33.4
8927,2025/07,29099099000,9526604000,9516898000,7272547000,2669000000,6829870000,322.83,32.7
8928,2025/06,148139423000,43653760000,43498688000,42703905000,12314007000,39408257000,4084.11,29.4
8929,2025/12,26278000000,11712000000,11126000000,9714000000,100000000,3826000000,486.18,44.4
8931,2026/02,-,-,-,-,-,-,3168.72,-
8934,2025/03,218190000000,105892000000,100949000000,82723000000,100000000,72219000000,2102.78,46.8
8935,2025/03,105477000000,72922000000,72745000000,68074000000,-,11730000000,2227.86,69.1
8938,2025/03,8645000000,7838000000,7687000000,1626000000,-,35000000,849.36,88.9
8940,2025/05,52663315000,13621947000,13302941000,9076415000,14546109000,17880580000,1650.38,25.4
8944,2025/09,56408122000,16071276000,16051776000,7208993000,2794701000,25902237000,809.79,28.5
8945,2025/06,10459568000,7729283000,7580675000,7022912000,-,261250000,827.59,72.3
8946,2025/12,4022858000,2353377000,2229438000,238466000,764100000,51996000,98.86,58.3
8995,2025/03,6947209000,3983860000,3778028000,2881636000,295000000,1930480000,1980.29,57.3
8996,2025/12,17006576000,3859149000,3824650000,3509514000,3338100000,6362223000,1006.79,22.7
8999,2025/03,68770749000,24866354000,24661438000,20983775000,13174100000,7689444000,866.26,36.2
9001,2025/03,1753200000000,560753000000,463868000000,314683000000,73322000000,481470000000,2777.78,31.6
9003,2025/03,757264000000,182079000000,168905000000,105044000000,68961000000,171506000000,1870.68,24
9005,2025/03,2698981000000,872295000000,747411000000,593827000000,330791000000,480932000000,1441,30.7
9006,2025/03,1039708000000,372587000000,351150000000,264967000000,120264000000,229034000000,1353.53,35.7
9007,2025/03,1299991000000,479263000000,441860000000,362391000000,197863000000,234188000000,1385.44,36.8
9008,2025/03,1122589000000,414757000000,384184000000,317593000000,100375000000,176460000000,3506.06,36.9
9009,2025/03,1094120000000,524658000000,501849000000,482049000000,68255000000,114345000000,1055.48,46.5
9010,2025/03,101101839000,36786623000,32598238000,21318471000,12702158000,30438489000,672.11,35.3
9012,2025/03,16899816000,5003559000,-2014127000,-2761310000,755000000,3332599000,3368.68,29.6
9017,2025/03,56418904000,19030464000,10954114000,3826768000,11359901000,11281634000,4954.51,33.7
9020,2025/03,10174224000000,2872216000000,2739570000000,2451848000000,141711000000,1260561000000,2527.69,28.1
9021,2025/03,3752359000000,1280165000000,1129650000000,720754000000,17543000000,498375000000,2458.45,30.8
9022,2025/03,10323345000000,4658550000000,4491843000000,4428847000000,35147000000,467390000000,4675.36,44.6
9023,2025/03,2029745000000,716529000000,700044000000,579777000000,-,277379000000,1233.27,35.3
9024,2025/03,1834120000000,567128000000,470465000000,508816000000,67315000000,535064000000,2117.32,30.6
9025,2025/03,289702000000,150424000000,137772000000,140453000000,6190000000,4115000000,2765.54,50.7
9027,2025/03,36194000000,21040000000,20453000000,19519000000,3370000000,2393000000,3938.09,58.1
9028,2025/06,73948000000,43530000000,42901000000,35894000000,5000000000,-,2558.46,58
9029,2025/03,31596980000,13509874000,13096890000,12182494000,4330000000,3672517000,1037.15,42.8
9031,2025/03,782126000000,256039000000,216414000000,182591000000,48064000000,143096000000,3214.35,31.8
9033,2025/03,104082000000,42762000000,16867000000,12563000000,14041000000,12737000000,1373.39,40.1
9034,2025/03,33466063000,21975276000,21734089000,21290395000,870049000,6196707000,2330.72,65.7
9035,2025/03,189702000000,43555000000,47624000000,45133000000,42349000000,75799000000,1276.28,22.9
9036,2025/03,24676538000,20304115000,19408235000,18351837000,-,273300000,3586.5,81.9
9037,2025/03,159446000000,101896000000,88685000000,77599000000,14564000000,9776000000,1210.12,56.2
9039,2025/03,127234000000,96000000000,95913000000,90046000000,1500000000,1412000000,2359.73,75.4
9040,2025/03,9653528000,6624559000,6494278000,4267334000,-,1709147000,8877.11,68.6
9041,2025/03,2507255000000,613723000000,414825000000,234814000000,256519000000,641474000000,2861.24,21.7
9042,2025/03,3283453000000,1132460000000,975572000000,782720000000,169367000000,774025000000,4340.23,31.5
9044,2025/03,981014000000,329865000000,251821000000,151125000000,77361000000,225589000000,2749.04,31.7
9045,2025/03,859860000000,314508000000,255125000000,213924000000,62434000000,188769000000,3023.64,35.7
9046,2025/03,90680000000,23539000000,21087000000,9768000000,21847000000,32588000000,2974.82,26
9048,2025/03,1448908000000,498311000000,347965000000,211944000000,75462000000,194533000000,2354.79,31.9
9049,2025/03,25253000000,13656000000,12215000000,10922000000,2879000000,3397000000,6253.92,49.2
9051,2025/03,18836671000,6123975000,5811610000,3910749000,1837932000,4212202000,1184.18,31.3
9052,2025/03,122690000000,57572000000,51571000000,34619000000,5972000000,31203000000,2591.01,46.9
9055,2024/03,102521000000,65506000000,57145000000,52754000000,1938000000,5100000000,1710.37,59.2
9057,2025/03,40078000000,23204000000,23063000000,20728000000,2392000000,6992000000,3105.89,57.9
9058,2024/03,74097000000,50241000000,48388000000,50889000000,-,-,5380.93,67.1
9059,2025/03,47484000000,25766000000,25223000000,22218000000,3059000000,3541000000,1202.58,54.3
9060,2025/03,48827278000,15594987000,13492433000,7249012000,5820770000,7778429000,11473.55,31.8
9063,2025/03,47388965000,23404186000,22545113000,18649952000,7659013000,6207085000,11531.64,49.3
9064,2025/03,1267428000000,600350000000,560354000000,470183000000,14325000000,86258000000,1806.52,46.5
9065,2025/03,545189000000,297063000000,258327000000,230048000000,18827000000,37402000000,5580.56,53.8
9066,2025/03,165829000000,91633000000,73474000000,65043000000,11690000000,4113000000,5881.04,52.1
