CF

コード,年度,営業CF,投資CF,財務CF,設備投資,現金同等物,営業CFマージン
1301,2025/03,5843000000,-9036000000,2149000000,-8124000000,7514000000,1.93
130A,2025/12,-299265000,451119000,-,-31242000,325213000,-328.36
1332,2025/03,40379000000,-30393000000,-11452000000,-34051000000,18686000000,4.56
1333,2025/03,39179000000,-1886000000,-29352000000,-22043000000,48422000000,3.63
135A,2026/02,-,-,-,-,-,-11.44
1375,2025/03,5519000000,-2252000000,-2159000000,-2062000000,3903000000,10.39
1376,2025/05,212910000,-1234925000,-629070000,-1211000000,1608082000,0.33
1377,2025/05,5100000000,4066000000,-6669000000,-8496000000,22445000000,5.49
1379,2025/03,12222000000,-9012000000,-1721000000,-1640000000,15069000000,14.71
137A,2025/05,221406000,-,15107000,0,878485000,17.01
1380,2025/03,725072000,-451110000,-4323000,-495000000,968035000,9.11
1381,2025/06,2915000000,-1719000000,-578000000,-1774000000,7733000000,11.03
1382,2025/06,16111000,-19533000,-41989000,-21198000,306105000,0.67
1383,2025/10,329887000,-573568000,196533000,-640019000,873211000,4.52
1384,2025/03,3216000000,-2258000000,-663000000,-2129000000,4194000000,16.58
138A,2025/11,290255000,23458000,40514000,-244752000,1388132000,10.14
1401,2025/05,567895000,-43987000,-233686000,-100754000,1827413000,12.05
1407,2025/08,3263000000,-5459000000,10064000000,-3651000000,35707000000,6.91
1414,2025/06,9473000000,464000000,-12697000000,-948000000,32523000000,10.44
1417,2025/03,18049000000,-9370000000,-6412000000,-10301000000,51350000000,3.12
1418,2026/02,-,-,-,-,-,13.64
1419,2025/05,2248000000,-1741000000,4390000000,-1736000000,31001000000,1.12
141A,2025/06,-4446000000,-35892000000,20770000000,-39475000000,72325000000,-0.55
1420,2025/03,-2371596000,-46468000,1210299000,-107000000,9232054000,-5.21
1429,2025/12,1510471000,-603119000,-755491000,-503809000,2415160000,4.49
142A,2025/03,-128391000,-72390000,240110000,-18233000,1593893000,-5.35
1430,2025/05,2094972000,-49980000,-762561000,-45013000,5400034000,4.85
1431,2025/06,1384878000,-496993000,-856881000,-409965000,3809392000,8.65
1433,2026/01,1644324000,1490152000,-3300510000,-8772000,1434387000,14.76
1434,2025/08,896261000,17231000,-210728000,-442000000,3012672000,4.7
1435,2025/12,1849156000,-663767000,-181750000,-1654526000,7505020000,7.68
1436,2025/04,-961122000,-663572000,1032649000,-149743000,911167000,-8.27
1438,2025/09,317228000,-3296000,-80150000,-33505000,2618800000,5.06
1439,2024/12,-,-,-,-,-,7.73
143A,2025/03,102216000,-89280000,63580000,-600000,1399156000,7.34
1443,2025/03,358360000,-286741000,-532526000,-32747000,1364173000,7.3
1444,2025/07,-59576000,570099000,32681000,-29264000,1878851000,-1.13
1446,2025/09,418644000,-92465000,-315636000,-52794000,1626858000,3.02
1447,2025/03,305192000,-1647104000,-405012000,-671386000,3044362000,1.06
1449,2025/12,-61812000,292123000,-165511000,-5074000,185781000,-6.25
1450,2025/03,2141625000,-78287000,-348442000,-38928000,3935515000,17.43
1451,2024/03,1245953000,-170202000,-1357964000,-150000000,4041064000,12.38
145A,2025/12,178234000,-1079531000,443670000,-27240000,1413785000,8.36
146A,2025/12,-4318000000,-1706000000,9637000000,-1639000000,7855000000,-11.64
147A,2025/03,-728673000,-474993000,2451930000,-324018000,8917773000,-8.1
148A,2025/12,295080000,-167470000,-80745000,-28759000,1391041000,10.69
1491,2025/03,840310000,-543300000,564235000,-88504000,4141237000,0.52
149A,2025/12,79336000,-63385000,-3501000,-48450000,984502000,5.42
150A,2025/03,137604000,-691273000,167650000,-793881000,810824000,3.47
1514,2025/03,26000000,-216000000,-3174000000,-209000000,15351000000,0.25
1515,2025/03,17713000000,-12259000000,-6477000000,-21272000000,37789000000,9
1518,2025/03,4574000000,-11917000000,-10206000000,-1475000000,8973000000,7.55
151A,2025/06,268439000,-210495000,-30446000,-289676000,2065504000,1.95
153A,2025/12,208971000,-373803000,-81199000,-68625000,1487072000,14.92
155A,2025/12,416644000,-1191448000,625809000,-15822000,1667756000,5.2
156A,2025/08,694251000,-58325000,-497267000,-51565000,1261264000,11.04
157A,2025/06,-6909000,-215376000,-82640000,-28515000,1185144000,-0.34
1605,2025/12,693893000000,-668734000000,-110730000000,-390000000000,168407000000,34.5
160A,2025/03,775634000,-4645942000,4457529000,-4607719000,3485113000,4.33
165A,2025/03,953194000,-391300000,-1626467000,-360000000,2504410000,8.34
1662,2025/03,130766000000,-107076000000,-38671000000,-78050000000,140931000000,33.61
1663,2025/12,15911000000,-13259000000,-1623000000,-7546000000,29857000000,17.42
166A,2025/09,-5770903000,-1718520000,19260213000,-1497897000,26201366000,-7.76
167A,2025/03,13180000000,-15258000000,-17615000000,-1501000000,29674000000,3.66
168A,2026/01,-,-,-,-,-,11.89
1711,2025/03,-214276000,-973331000,1004688000,-704402000,420014000,-5.31
1712,2025/02,1851000000,-3393000000,504000000,-3443000000,1410000000,9.28
1716,2025/06,1699024000,-2437860000,-515668000,-854502000,8209000000,8.4
1717,2025/03,-213002000,-212097000,-453092000,-168693000,829338000,-3.73
1718,2025/12,-2119305000,-509509000,3062253000,-604302000,2829958000,-5.86
1719,2025/03,11176000000,1600000000,-5751000000,-4300000000,55772000000,2.63
1720,2025/03,41203000000,-1595000000,-31878000000,-2919000000,39666000000,14.06
1721,2025/03,16625000000,-10215000000,-20217000000,-10516000000,38146000000,2.7
1723,2025/03,8135000000,-4280000000,-1640000000,-542000000,10746000000,18.89
1724,2025/12,1538000000,-227000000,-1352000000,-162000000,903000000,14.66
1726,2025/03,48000000,-1448000000,1264000000,-1750000000,1680000000,0.12
1730,2024/03,-246644000,-82755000,243459000,-82755000,712454000,-7.86
1736,2025/03,3542153000,-922951000,-576986000,-734689000,8341066000,11.27
1738,2025/03,305314000,175220000,-513213000,-318933000,1517636000,2.96
173A,2025/03,923334000,-366648000,-37381000,-573100000,3165984000,19.61
1743,2025/09,-,-,-,-,-,8.61
1757,2025/03,-,-76955000,-,-,-,-58.2
1758,2026/01,-,-,-,-,-,6.19
175A,2025/12,-122204000,-61390000,180162000,-61468000,104621000,-15.18
1762,2025/03,5132000000,-1699000000,5458000000,-1679000000,35723000000,1.48
1764,2025/06,-2138218000,-347221000,1247446000,-403000000,2029887000,-9.5
1766,2025/04,22714000000,-3725000000,-3367000000,-2869000000,134944000000,6.2
1768,2025/03,-654009000,-472831000,-219737000,-328000000,1305396000,-4.3
176A,2025/06,3438689000,-10327705000,6423617000,-8043269000,4293309000,7.37
1770,2025/03,1128664000,-839994000,-1105701000,-433536000,7663185000,3.46
1771,2025/09,504691000,-1327623000,-296722000,-381000000,5310502000,2.87
1775,2024/03,3734000000,-854000000,-1973000000,-386000000,24132000000,3.6
1776,2025/03,-3146000000,-600000000,-402000000,-321000000,7027000000,-10.43
1777,2025/03,-,-30000000,-513000000,-169000000,3871000000,-
177A,2025/03,915551000,-1090901000,1376032000,-1049000000,2949267000,17.59
1780,2025/03,79698000,-606231000,-283276000,-276000000,12150760000,0.22
1783,2025/09,2462605000,-1025873000,-2649015000,-498923000,1463949000,26.14
1786,2025/03,7803000000,-5211000000,-2895000000,-2511000000,19877000000,12.09
1787,2025/03,692496000,-114200000,-590640000,-125000000,3916164000,4.7
1788,2025/06,79862000,-157933000,-75750000,-146095000,1141009000,0.97
1793,2025/03,-355000000,1936000000,-9972000000,-288000000,10177000000,-0.51
1795,2025/09,1238782000,9528000,-232731000,-22992000,3294863000,11.63
1798,2025/03,3075769000,-363766000,-211868000,-95000000,7529713000,6.12
1799,2025/03,5981560000,-3797862000,-2843297000,-3083000000,17361479000,10.31
1801,2025/03,-13841000000,10531000000,-133769000000,-78000000,295963000000,-0.64
1802,2025/03,84161000000,10044000000,-50440000000,-39200000000,380169000000,3.25
1803,2025/03,159094000000,7813000000,-71102000000,-32800000000,438144000000,8.18
1805,2024/03,-9992000000,-1441000000,14912000000,-943000000,23673000000,-7.57
1807,2025/03,-3964389000,-625676000,1997606000,-664199000,5030509000,-9.81
1808,2025/03,3916000000,-32472000000,-20545000000,-20900000000,235798000000,0.33
1810,2025/03,7623000000,-177000000,-3073000000,-763000000,12968000000,7.68
1811,2025/03,-7727000000,-26000000,2657000000,-343000000,12538000000,-6.4
1812,2025/03,30632000000,-104836000000,61687000000,-75100000000,349540000000,1.05
1813,2025/03,621000000,-6500000000,5334000000,-6917000000,10379000000,0.89
1814,2025/03,-3059000000,808000000,-2066000000,-601000000,4458000000,-3.44
1815,2025/03,-20285000000,615000000,17932000000,-542000000,16529000000,-10.96
1820,2025/03,5889000000,-36250000000,16134000000,-23869000000,43403000000,1.61
1821,2025/03,-16707000000,2634000000,-6916000000,-2500000000,68921000000,-3.61
1822,2025/03,11776000000,-876000000,-6621000000,-434000000,21657000000,8.21
1826,2025/03,900000000,-362000000,-371000000,-335000000,14023000000,2.79
1827,2025/03,-4375000000,-398000000,-891000000,-354000000,20046000000,-3.96
1828,2025/03,12925730000,-1278226000,-4171075000,-1306889000,10849611000,25.43
1832,2025/03,4628000000,-1933000000,-419000000,-1460000000,11139000000,6.71
1833,2025/03,-11828000000,-1492000000,12070000000,-7103000000,27440000000,-3.97
1835,2025/03,4160881000,-1247143000,-3579313000,-1977000000,15714414000,2.6
1840,2025/10,1250270000,-2100866000,-996980000,-2693000000,4795443000,3.97
1841,2025/03,1087000000,106000000,-309000000,-98000000,3780004000,10.44
1844,2025/07,-871232000,-193667000,122717000,-170399000,2411022000,-13.52
1847,2025/03,8144000000,-1353000000,75000000,-117000000,19889000000,8.23
1848,2025/03,-2334000000,1701000000,1514000000,-1302000000,3083000000,-6.91
184A,2025/04,-218387000,-21969000,128706000,-13109000,29956000,-75.33
1850,2025/03,-6133000000,-137000000,3933000000,-176000000,3932000000,-11.58
1852,2025/03,5184000000,-784000000,-913000000,-617000000,16833000000,3.1
1853,2025/03,-4229000000,-407000000,-466000000,-387000000,4472000000,-14.36
1860,2025/03,26413000000,-61191000000,7364000000,-57800000000,86131000000,4.5
1861,2025/03,8233000000,-11990000000,-16466000000,-4348000000,50156000000,1.65
1866,2025/03,-6169000000,-849000000,-1235000000,-362000000,18027000000,-7.63
1867,2025/03,2649543000,-1083017000,793480000,-1450000000,6215437000,5.23
1869,2025/03,-1426000000,-3308000000,-952000000,-3670000000,11976000000,-1.53
186A,2025/04,-12250750000,-1043993000,20818761000,-949936000,21300864000,-498.61
1870,2025/03,-17191000000,-255000000,13149000000,-339000000,15619000000,-12.22
1871,2025/03,15952000000,-807000000,-4206000000,-1331000000,22100000000,11.76
1873,2025/04,3450000000,-709000000,-2143000000,-726000000,6053000000,9.86
1878,2025/03,85612000000,-46505000000,-45839000000,-27017000000,223573000000,4.65
1879,2025/03,2654000000,-34434000000,-3740000000,-430000000,48653000000,2.02
1882,2025/03,-1754000000,-1222000000,1057000000,-3046000000,12308000000,-1.39
1884,2025/03,15117000000,-3896000000,-2640000000,-3887000000,42258000000,9.2
1885,2025/03,-14255000000,93000000,-1250000000,-1500000000,41583000000,-4.31
1887,2025/05,3793000000,-3876000000,-3788000000,-4223000000,18136000000,3.08
1888,2025/03,-10211000000,-1854000000,6399000000,-938000000,13217000000,-11.81
1890,2025/03,2822000000,-11191000000,5893000000,-13352000000,21154000000,1.63
1892,2025/03,-6186000000,640000000,2641000000,-105000000,11623000000,-8.65
1893,2025/03,-23331000000,-23216000000,43883000000,-258000000,56786000000,-3.21
1897,2025/12,67000000,281000000,-254000000,-49000000,8925000000,0.76
1898,2025/03,-971000000,-1339000000,-3376000000,-1497000000,7751000000,-0.98
1899,2025/12,2574000000,-1127000000,-2572000000,-2473000000,30819000000,1.53
189A,2025/05,-69759000,-73691000,250219000,-32536000,453936000,-4.64
1904,2025/03,560787000,-113911000,1139486000,-865825000,12622738000,0.9
1905,2025/03,3047307000,-792765000,-301844000,-1031686000,10198179000,12.85
1909,2025/03,8942669000,-1019985000,-3361717000,-1319000000,9502542000,16.05
190A,2025/08,-1836921000,-5327000,61580000,-5327000,2548955000,-
1911,2025/12,94675000000,-144743000000,50728000000,-65905000000,208577000000,4.18
1914,2025/03,449000000,-1865000000,-258000000,-1801000000,4040585000,1.48
1921,2025/03,4980000000,-4502000000,853000000,-2553000000,11132287000,14.36
1925,2025/03,420561000000,-493370000000,-44682000000,-416543000000,326954000000,7.74
1926,2025/03,10354000000,-1896000000,-12399000000,-4719000000,30947000000,8.52
1928,2026/01,216325000000,-73172000000,-93255000000,-99696000000,434925000000,5.15
1929,2025/03,4513000000,-4005000000,-1961000000,-1386000000,18151000000,6.71
192A,2025/05,-224300000,-6800000,228036000,-6800000,1912696000,-11.85
1930,2025/03,7603000000,-3418000000,-1393000000,-599000000,22261000000,13.67
1934,2025/03,15078000000,-5803000000,-6836000000,-5926000000,47688000000,5.86
1938,2025/03,2040534000,-1185975000,-1442649000,-1995000000,8304766000,2.97
1939,2025/03,-536000000,-1180000000,-4280000000,-1358000000,16308000000,-0.51
1941,2025/03,22754000000,-11525000000,-7643000000,-6347000000,34435000000,10.25
1942,2025/03,18263000000,-10168000000,-12625000000,-15074000000,57835000000,2.72
1944,2025/03,24545000000,3605000000,-24976000000,-10176000000,184662000000,3.48
1945,2025/03,-15229000000,-90000000,10655000000,-791000000,7648000000,-22.49
1946,2025/03,19014000000,-3082000000,-13670000000,-9282000000,40299000000,7.02
1948,2025/03,1116000000,-249000000,-1076000000,-201000000,686000000,2.84
1949,2025/03,13794000000,-2887000000,-5353000000,-2371000000,64658000000,6.77
194A,2025/06,948558000,-388735000,-575372000,-116029000,895330000,17.36
1950,2025/03,-4341000000,-5774000000,169000000,-7107000000,25949000000,-2
1951,2025/03,6842000000,-18432000000,2887000000,-21328000000,39413000000,1.02
1952,2025/03,14238000000,2048000000,-10184000000,-608000000,20120000000,10.34
1959,2025/03,8656000000,-8910000000,-24552000000,-5365000000,70437000000,1.83
195A,2025/03,-407972000,-966248000,1305193000,-57779000,543999000,-13.66
1960,2025/03,-1553000000,-591000000,1012000000,-831000000,8819000000,-2.29
1961,2025/03,29725000000,1897000000,-11398000000,-1453000000,43848000000,11.74
1963,2025/03,46761000000,-21172000000,-15049000000,-15436000000,332761000000,5.45
1964,2025/03,-3696000000,654000000,-2701000000,-723000000,4348000000,-10.2
1965,2025/03,4651000000,-159000000,-1790000000,-274000000,11533000000,5.52
1966,2025/03,-645327000,-2458084000,4019776000,-2763000000,4926682000,-1.11
1967,2025/03,4534459000,-643213000,-1165071000,-837224000,11331736000,8.53
1968,2025/03,-2525000000,51000000,2622000000,-865000000,42104000000,-2.01
1969,2025/03,5885000000,-1405000000,-12713000000,-4347000000,41364000000,1.54
196A,2025/06,116802000,-256559000,-115561000,-5614000,1616483000,4
1972,2025/03,3563000000,-788000000,-785000000,-715000000,14603000000,7.85
1973,2024/03,20228000000,-4848000000,-10520000000,-2577000000,73507000000,5.63
1975,2025/03,1276000000,612000000,-1528000000,-2551000000,18389000000,1.39
1976,2025/03,6937000000,-500000000,-4692000000,-2589000000,33449000000,10.47
1979,2025/03,-21219000000,-4982000000,1907000000,-,42013000000,-7.68
197A,2025/06,6818472000,-9258084000,2281350000,-5227573000,9266630000,36.6
1980,2025/03,12402000000,-832000000,16044000000,-960000000,50552000000,4.72
1981,2025/03,1108686000,-1035400000,-1221055000,-561580000,6777925000,2.96
1982,2025/03,-616000000,-1795000000,-3765000000,-313000000,22778000000,-0.69
198A,2025/05,-43856000,-2892000,41796000,-1933000,1119007000,-4.89
1992,2025/03,471662000,-80759000,-424504000,-56398000,2500047000,6.57
1994,2025/12,2511050000,-374065000,-1015500000,-357000000,2150355000,34.22
1997,2025/08,1198359000,-446040000,-185847000,-26000000,5596362000,13.12
1999,2025/06,1238908000,-294135000,-354943000,-52000000,3315842000,15.8
2001,2025/03,18768000000,-7807000000,-10533000000,-20960000000,41471000000,4.57
2002,2025/03,55209000000,-34961000000,-35432000000,-41468000000,92005000000,6.48
2003,2025/03,5055000000,-2185000000,-2277000000,-2588000000,10432000000,6.99
2004,2025/03,20274000000,-11385000000,-10057000000,-11479000000,6868000000,6.06
2009,2025/12,3099760000,-2204008000,-1493394000,-2290647000,11972802000,11.81
202A,2025/03,1371725000,-180241000,-187015000,-196538000,1832835000,13
2053,2025/03,11992000000,-3830000000,772000000,-4167000000,11942000000,5.71
2055,2025/03,2444000000,-321000000,-144000000,-863000000,9019000000,5.03
2058,2025/03,502000000,-356000000,24000000,-408000000,1347000000,3.55
205A,2025/05,1994728000,-2497807000,2871041000,-776125000,6845430000,5.5
2060,2025/03,8570000000,-3088000000,-6011000000,-4988000000,10287000000,2.89
206A,2025/09,-1468363000,-69013000,33588000,-67683000,2915572000,-216.79
208A,2025/06,3320797000,-2273447000,57202000,-810985000,4242765000,16.49
2107,2025/03,-,-,-,-,-,2.67
2108,2025/03,-3090000000,2206000000,-3605000000,-7131000000,8364000000,-4.77
2109,2025/03,22592000000,-5635000000,-1693000000,-4039000000,40099000000,12.64
2112,2025/03,3701000000,-520000000,-2171000000,-533000000,3313000000,11.38
2114,2025/03,3323000000,-1546000000,-376000000,-196000000,6644000000,11.78
2117,2025/03,8927000000,-8977000000,2986000000,-3079000000,15445000000,9.2
211A,2025/07,786930000,-854852000,-1366224000,-840784000,1009824000,10.37
2120,2025/09,4808000000,-11852000000,3890000000,-2887000000,10702000000,17.09
2121,2025/03,27476000000,-14490000000,-10378000000,-6483000000,108174000000,17.74
2122,2025/09,169632000,-333685000,-187927000,-303572000,5594460000,1.92
2124,2025/12,9566000000,-8777000000,-4609000000,-408000000,15312000000,20.76
2127,2025/03,13116373000,11982645000,-8753570000,-75908000,38715594000,29.76
212A,2025/10,1354668000,-1671151000,1089932000,-888238000,3274133000,13.92
2130,2025/03,1211351000,-49664000,-923620000,-180454000,4014913000,5.42
2134,2025/03,-1579277000,-420038000,2193113000,-50000000,256472000,-225.09
2136,2025/03,217540000,-95169000,-444899000,-45169000,3432998000,3.64
2137,2025/03,-338998000,59945000,-78818000,-15541000,2758004000,-11.14
2138,2025/03,-1033055000,-6328488000,4629136000,-,9403989000,-7.28
2139,2025/03,7278000,-246019000,-22632000,-64071000,540370000,0.06
2146,2025/03,5681000000,5867000000,-9140000000,-367000000,31708000000,2.92
2148,2025/03,1840534000,-1175737000,-2044700000,-215000000,6562002000,22.72
2150,2024/12,1823903000,-1767265000,-1573685000,-95000000,7166081000,16.31
2151,2025/03,15193000000,-7444000000,2169000000,-11854000000,23192000000,20.07
2152,2025/03,922542000,-360315000,-248221000,-51627000,9251185000,13.04
2153,2025/05,4135000000,-7909000000,5944000000,-786000000,20237000000,9.68
2154,2025/06,14159000000,-5558000000,-9675000000,-901000000,20353000000,7.53
2156,2025/03,52545000,-10585000,93972000,-19523000,677811000,2.5
2157,2025/08,12774376000,-8292873000,-791157000,-8608532000,10439415000,18.41
2158,2025/03,753274000,-254031000,-913281000,-270580000,2594862000,12.35
215A,2025/10,2674709000,-1280130000,581648000,-564659000,14215097000,7.8
2160,2025/12,-2408000000,-536000000,13738000000,-334000000,21101000000,-8.97
2162,2025/03,1371215000,-899688000,-1252598000,-1215198000,3779982000,1.81
2163,2026/01,-,-,-,-,-,11.75
2164,2025/08,11828000,-891723000,947802000,-1062137000,640083000,0.38
2168,2025/05,4327000000,-47600000000,-15055000000,-18623000000,78664000000,1.4
2169,2025/12,1578104000,-313040000,-881611000,-210829000,4462260000,17.88
2170,2025/12,5246000000,-5248000000,-194000000,-662000000,11374000000,12.63
2172,2025/06,115197000,-1336000,-20099000,-38923000,556824000,4.69
2173,2025/12,2704769000,-53029000,-799591000,-53922000,4495375000,11.59
2175,2025/03,5806000000,-4071000000,-4148000000,-4072000000,15253000000,9.53
2179,2025/03,1012824000,-338631000,-166088000,-598873000,2167403000,7.09
2180,2025/06,2186763000,-129786000,-547321000,-163788000,4639726000,11.16
2181,2025/03,68854000000,-29765000000,-63878000000,-20108000000,82818000000,4.74
2183,2025/03,595475000,-45312000,-939218000,-127087000,7039571000,5.71
2185,2025/09,2309404000,367128000,-1568481000,-925000000,13062042000,12.65
2186,2026/02,-,-,-,-,-,4.15
218A,2025/07,-363332000,-61354000,122317000,-48688000,751988000,-25.82
2193,2025/12,577540000,-4925775000,-1943443000,-58000000,5885014000,10.82
2195,2025/12,584792000,-804118000,601674000,-77512000,3119338000,12.02
2196,2025/03,926336000,-198469000,-1312909000,-553000,4375566000,3.54
2198,2025/10,1985819000,-1721627000,-1589896000,-765000000,5302019000,8.84
219A,2025/12,-,-,-,-,-,35.69
2201,2025/03,10763000000,-9837000000,-18008000000,-10689000000,30845000000,4.7
2204,2025/03,5165354000,-653747000,-3032451000,-740164000,2615667000,13.87
2206,2025/12,27279000000,-13852000000,-7037000000,-10100000000,64737000000,7.55
2207,2025/03,4236000000,960000000,-4365000000,-2921000000,7194000000,15.09
2208,2025/03,6527000000,-6475000000,-2227000000,-6268000000,17391000000,5.75
2209,2025/03,6068603000,-1833573000,-4083678000,-2187000000,1516238000,11.87
220A,2025/09,206060000,-378868000,-,-1272000,2124496000,8.05
2211,2025/12,3779000000,-10856000000,10866000000,-11617000000,10861000000,3.16
2212,2025/12,78870000000,-55859000000,-14126000000,-59942000000,155423000000,6.01
2215,2025/12,49000000,-1914000000,415000000,-1385000000,2479000000,0.17
2216,2025/12,5053097000,-5248370000,-526105000,-4980000000,4261250000,14.53
2217,2026/01,-,-,-,-,-,1.1
2218,2025/03,758181000,-492283000,-178777000,-623169000,1626316000,4.11
2220,2025/03,9442000000,-7830000000,-1215000000,-7267000000,8120000000,9.14
2221,2025/03,3939691000,-2066378000,-653709000,-2226384000,4059479000,15.79
2222,2025/03,13204000000,-3438000000,-7372000000,-3357000000,25081000000,18.25
2224,2025/03,30175000,-307384000,-109149000,-271481000,271448000,0.42
2226,2025/03,-150000000,-6757000000,3666000000,-6683000000,3567000000,-0.25
2229,2025/03,39100000000,-28604000000,2541000000,-29514000000,51019000000,12.12
2264,2025/03,-12456000000,-18786000000,-5028000000,-29926000000,28559000000,-2.22
2266,2025/12,-1667416000,-2173000000,1579394000,-532000000,3915108000,-3.85
2267,2025/03,84687000000,-61020000000,-31466000000,-49603000000,193117000000,16.95
2268,2025/12,4456699000,-4336127000,-959581000,-4375540000,7192901000,13
2269,2025/03,68979000000,-40636000000,-61671000000,-53682000000,66398000000,5.98
2270,2025/03,21100000000,-18512000000,-10375000000,-17482000000,21319000000,3.43
2281,2025/03,14211000000,-13574000000,-4202000000,-13411000000,6266000000,3.1
2282,2025/03,77441000000,-42717000000,-29851000000,-34400000000,71557000000,5.65
2286,2025/03,1114000000,885000000,-1355000000,-950000000,3146000000,2.26
2288,2025/03,5396000000,-2884000000,-3196000000,-6677000000,8983000000,2.3
228A,2025/11,440396000,-1630635000,4422000,-128643000,580943000,17.25
2291,2025/03,-239000000,-354000000,-220000000,-476000000,1700000000,-0.97
2292,2026/02,-,-,-,-,-,1.85
2293,2025/03,3148000,-496935000,-190487000,-444000000,1081563000,0.01
2294,2025/04,1746000000,-2954000000,-905000000,-1190000000,7995000000,4.84
2296,2025/03,10016000000,-20642000000,7468000000,-21736000000,20581000000,1.01
2300,2026/02,-,-,-,-,-,2.34
2301,2025/10,1898587000,368451000,-1511172000,-471026000,4685197000,17.23
2303,2025/05,302567000,-336785000,-161189000,-1387000,733578000,18.37
2304,2025/09,708106000,-58405000,-418776000,-60000000,1138856000,3.63
2305,2026/02,-,-,-,-,-,14.83
2307,2025/03,692175000,-28508000,-319989000,-72000,2683140000,4.27
2311,2025/12,370029000,571796000,-286388000,-88056000,2351929000,5.92
2315,2025/10,51921000,24511000,-170956000,-210000,639565000,1
2317,2025/03,7979000000,-2576000000,-14024000000,-302000000,21464000000,9.54
231A,2025/09,406310000,-28687000,-119692000,-29322000,2484593000,8.87
2321,2025/03,60683000,-14415000,1167194000,-20383000,1419489000,7.37
2323,2025/03,190529000,-1217378000,875498000,-5275000,661061000,15.02
2325,2025/12,2075263000,-952168000,-968977000,-663257000,17827341000,8.35
2326,2025/03,2817000000,-1107000000,-2096000000,-79000000,17952000000,28.22
2327,2025/03,37207000000,70249000000,-18805000000,-6424000000,192931000000,11
2329,2025/03,44000000,23200000000,-6631000000,-380000000,59809000000,0.1
2330,2025/12,668770000,217374000,-93444000,-70198000,2197121000,7.64
2331,2025/03,42647000000,-15550000000,-36309000000,-18194000000,60018000000,7.73
2332,2025/03,590984000,91306000,-265581000,-2442000,3531256000,3.96
2334,2025/03,-18205000,-83668000,220002000,-102590000,375712000,-0.51
2335,2025/03,255000000,-68000000,-780000000,-39000000,6213000000,1.39
2337,2026/02,-,-,-,-,-,-23.58
2338,2026/02,-,-,-,-,-,-264.94
2340,2025/03,2195012000,-1205188000,-957731000,-1128182000,2897639000,14.47
2341,2026/02,-,-,-,-,-,8.47
2342,2025/03,94096000,-287846000,265098000,-175450000,2541738000,0.72
2344,2025/03,1384661000,-3902351000,-382987000,-807000000,5605393000,13
2345,2025/10,-645410000,-251837000,199949000,0,222836000,-2430.92
2349,2025/03,2768817000,-506841000,-302259000,-199000000,15489827000,11.09
2351,2025/03,415820000,-721932000,432963000,-734529000,989514000,15.17
2353,2025/07,8180493000,-4888603000,1203991000,-4572000000,20918303000,22.21
2354,2026/02,-,-,-,-,-,7.02
2359,2025/03,2372799000,49425000,-1136228000,-136000000,7586071000,9.65
2370,2025/09,-1413360000,-565170000,-2552000,-32444000,2670097000,-174.43
2371,2025/03,27404000000,-2939000000,-11302000000,-2887000000,50859000000,34.94
2372,2024/03,446000000,-2783000000,163000000,-4350000000,7224000000,2.51
2373,2025/10,2171448000,139258000,-1197219000,-380000000,4165260000,4.51
2374,2025/03,1720501000,-993748000,-1562153000,-948466000,7186572000,3.06
2375,2025/10,363963000,837908000,-437553000,-468098000,2508229000,1.63
2376,2025/03,334532000,-592482000,-381875000,-145000000,4124471000,2.03
2378,2025/03,3510362000,-3158918000,1086231000,-3918000000,7680354000,5.51
2379,2026/02,-,-,-,-,-,18.17
2384,2025/12,35432000000,-28542000000,-14853000000,-13974000000,20439000000,7.23
2385,2025/06,557955000,-389413000,-214000,-37547000,4958351000,11.51
2388,2025/09,-16073000,1172131000,-9856000,0,1657300000,-1.97
2389,2025/12,-,-,-,-,-,26.68
2391,2025/07,532685000,-19379000,-285144000,-77187000,2876065000,16.84
2393,2025/03,1389235000,-1170622000,-189878000,-7528298000,740611000,4.34
2395,2025/03,7035243000,-11691221000,5914147000,-11390584000,11843986000,21.7
2397,2025/03,-,-,-,-,-,7.7
2404,2025/08,681654000,-166455000,-274636000,-359000000,979168000,8.48
2408,2025/12,349323000,-130119000,-262770000,-162000000,620946000,12.77
2410,2025/09,2031350000,-338384000,-470151000,-338384000,3835123000,10.89
2411,2025/03,510000000,-132000000,-121000000,-57000000,3687000000,6.64
2412,2024/03,-,-,-,-,-,21.14
2413,2025/03,51743000000,-39149000000,-27165000000,-10092000000,134933000000,18.16
2415,2025/03,1523120000,-1378046000,-1464098000,-1869000000,27836939000,1.52
2418,2025/12,10340000000,-7258000000,3597000000,-31256000000,27903000000,14.15
241A,2025/09,-1023646000,1669961000,788905000,-14970000,4030176000,-22.68
2424,2025/07,1908894000,-833876000,-436235000,-291988000,2234187000,14.08
2425,2025/03,553889000,-143378000,-91933000,-107000000,1843945000,5.62
2428,2025/06,2406247000,-831204000,-737015000,-352026000,17495195000,22.04
2429,2025/12,14787000000,-16763000000,-1805000000,-11524000000,38885000000,5.2
242A,2025/09,143346000,204000,-80646000,-895000,1331535000,5.45
2432,2025/03,38999000000,-12280000000,-5445000000,-8922000000,92803000000,23.78
2433,2025/03,82446000000,-13529000000,-45848000000,-16641000000,207520000000,8.65
2435,2025/03,777000000,-142000000,-791000000,-787000000,1481000000,4.36
